node_id,tokens,ord
11,"affinity, bear, being, bodies, celebrated, club, debate, discussions, entered, entry, great, interesting, men, mr, occasion, oration, other, pages, performances, pickwick, proceedings, resemblance, strong, thereon, trace, transactions, transfer, tupman",11
12,"acknowledged, air, assertion, attachments, attempts, authorship, basis, being, benefit, bestowed, boasted, boats, boilers, bolting, bosom, breast, broke, brother, bursting, calumnious, celebrated, censure, cheek, cheering, cheers, coaches, coachmen, come, community, compared, confines, conquest, contemplate, cried, cries, cry, danger, dear, deny, desire, directions, disappointed, discretion, disdained, distinctions, do, drear, earning, enable, enacting, enemies, enthusiastic, ethical, excesses, exhaustive, existence, existing, extend, failings, fame, farthest, feeble, feel, feelings, felt, field, fire, formulas, friend, functions, genuine, give, go, great, heaped, heard, heart, heroism, honour, honourable, horses, human, humanity, humble, importance, individual, influenced, insurance, jealous, justified, know, known, lay, let, look, looked, looking, loud, make, man, mankind, manned, minds, mode, modes, moment, moral, most, mr, observed, office, open, overturning, own, passion, passions, philanthropy, pick, pickwick, poetic, practical, praise, preference, presented, pretend, pride, product, production, proudest, quenched, race, reflect, researches, rigging, rip_van, rivalry, say, says, scenes, science, secretary, selected, self, service, smarting, snodgrass, sports, stage, state, summit, superstition, swelling, swing, sympathy, take, tell, that's, theory, think, took, travelling, treatise, troubled, tupman, turned, unbiassed, unsettled, uppermost, upsetting, vain, vanity, vehement, vehicles, vice, vile, voice, water, weaknesses, were, why, winkle, world, writhing",12
13,"allude, chair, come, could, cries, did, go, holding, honourable, leave, order, rose, take",13
14,"alluded, being, clamour, excitement, gentleman, great, honourable, pickwick, put, tupman",14
15,"accusation, being, chair, cheering, confusion, contempt, cries, do, false, gent, great, holding, hon, humbug, immense, know, order, profound, repelled, say, scurrilous, soils, tell, think, vast, why",15
16,"allowed, call, chair, club, contest, continue, disgraceful, do, drew, dropped, hear, holding, know, majority, members, order, rose, say, snodgrass, think, threw, why, wished",16
17,"chairman, countenance, expression, hon, made, some, sure, use, withdraw",17
18,"chair, holding, possible, regard, respect, sure",18
19,"chairman, common, countenance, demand, duty, escaped, expression, feeling, felt, gentleman, honourable, imperative, sense, used",19
20,"acknowledge, affections, answer, bound, call, considered, convince, disinterested, entertained, esteem, feeling, gentleman, had, hear, hesitation, highest, honourable, humbug, injure, point, prudence, regard, respect, saying, sense, used, view, was, word",20
21,"bear, begged, brother, candid, cheers, construction, explanation, fair, felt, friend, full, gratified, honourable, inquiry, intended, observations, own, pickwick, tupman, understood",21
22,"arriving, authorities, chapter, connected, debate, doubt, enthusiasm, enthusiastic, entry, facts, find, form, genuine, have, intelligible, involve, justify, letters, ms, narration, next, official, other, point, reader, recorded, satisfactory, statement, terminates",22
23,"abilities, above, arrangement, arrived, attire, attractions, beautiful, begun, behind, being, beneath, book, burst, buttons, c'est, cap, chamber, cloth, clothes, clouds, coach, coat, content, corner, countries, dark, des, discoveries, dressing, drew, dropped, effort, est, et, evening, examining, extended, eye, feet, fell, fire, found, gaze, gazed, given, grand, great, greatcoat, hand, hat, head, hidden, historians, holding, hour, imbibing, jacket, je, le, left, letter, lie, light, look, looked, looking, martin, men, merits, moon, morning, mr, narrow, ne, never, night, note, noted, occasional_visits, open, opening, operation, opinions, opposite, patrick, penetrate, people, performed, personal_attractions, philosophers, pickwick, pocket, portmanteau, principles, proceeded, punctual, put, qui, reach, ready, reception, reflection, right, samuel, scrupulous, servant, shaving, side, sky, sleeves, slumbers, stand, stars, street, stretches, strike, such, sun, sur, surround, t, taken, talents, telescope, things, thirteenth, thought, threw, trees, trousers, truths, tupman, turned, upper, vent, vest, views, vous, waistcoat, watch_chain, way, white_walled, wide, window, woollen, work, world, worthy, yet",23
24,"pickwick, said, tupman",24
25,"after, apron, are, arter, before, bonnet, brass, bunch, buttoned, cab, candlesticks, cap, catalogued, chest, coat, collar, collection, copper, cotton, drinkin, feather, fetched, fingers, first, fust, gals, handkerchief, hat, hob, house, human, jacket, jawin, kettles, killin, knee, label, last, leather, looked, looking, mr, neck, number, pickwick, pints, pipe, place, portmanteau, public, race, rarities, sackcloth, same, seein, shawl, shoulder, shouted, smoked, smoking, specimen, strange, striped, thrown, time, tin, towel, tupman, turned, vehicle, vittles, waterman, wuth",25
26,"asters, cross, daffodils, flowers, golden, hyacinths, lilies, pansies, pickwick, roses, said, sweet_peas, tupman, wrens",26
27,"bob, brother, cab, cried, driver, drove, friend, information, tommy, waterman",27
28,"brother, chin, coat_collar, fare, farthing, friend, horse, inquired, mouth, mr, nose, old, pickwick, reserved, rubbed, rubbing, shilling, sleeve, toes, tupman",28
29,"answered, driver, eyeing, replied",29
30,"book, case, delicate, driver, ejaculated, eyes, face, fact, features, former, forthwith, hand, head, immovable, laying, letter, looked, looking, man, mr, note, noted, pickwick, reiterated, statement, tupman, turned",30
31,"after, bring, day, farther, first, further, information, inquired, keep, last, mr, pickwick, searching, time, tupman",31
32,"answered, man, replied",32
33,"astonishment, book, came, letter, mr, note, pickwick, said, tupman, went",33
34,"account, driver, home, humiliation, lives, observed, seldom, selfishness, takes, weakness",34
35,"account, humiliation, perplexed, pickwick, reiterated, selfishness, tupman, weakness",35
36,"added, bears, booming, cab, care, come, continued, crashing, driver, fall, falls, go, got, help, hoofs, large, move, pair, precious, returned, roaring, rumbling, run, short, small, speak, splashing, take, takes, took, tracks, tunnel, werry, wheels, whirling, wish",36
37,"answer, arrival, asters, book, circumstances, club, combative, communicating, completed, cross, crowded, daffodils, departure, driver, entered, entry, flowers, golden, got, horses, hyacinths, illustrious, instance, jumped, leader, letter, life, lilies, mr, note, pansies, pickwick, reached, rip_van, roses, singular, snodgrass, statement, sweet_peas, tenacity, trying, tupman, vehicles, view, waiting, welcome, winkle, word, wrens",37
38,"arm, chair, drawing, drew, driver, fare, farthing, holding, mr, pickwick, said, shilling, shoulder, threw, tupman",38
39,"allowed, amount, astonishment, authority, climbed, edge, fighting, figurative, flung, garden_fence, inexplicable, learned, man, money, mr, pavement, person, pickwick, pleasure, requested, stretched, terms, tupman, unaccountable, wooden_bridge",39
40,"mad, said, snodgrass",40
41,"drunk, rip_van, said, winkle",41
42,"pickwick, said, tupman",42
43,"cab, clockwork, come, driver, go, said, sparring",43
44,"being, coachmen, crowded, dozen, glee, great, hackney, lark, party, shouted, vehicles",44
45,"black, blouse, braided, buttons, calico, cotton, crockery, cuffs, flannel, frilled, gentleman, grey, inquired, jacket, peeling, red, row, sam, sleeves, slippers, soiled, stockings, white, wool, woollen",45
46,"answered, cabman, number, replied, want",46
47,"astonished, number, pickwick, said, tupman, want",47
48,"cabman, give, go, inquired, take",48
49,"give, go, mr, pickwick, said, take, tupman",49
50,"added, answer, appealing, bargain, believe, book, cab, certainly, come, continued, crowd, dark, driver, flamed, flashed, go, informer, letter, light, man, mr, note, number, pickwick, really, returned, says, suppose, take, that's, tupman, understand, word",50
51,"cabman, inquired",51
52,"after, along, answered, assault, at, attack, before, blood, blow, body, breath, buttons, cabman, cap, chest, chin, climbed, cloth, coat, come, danced, dashed, disregard, dozen, edge, eighth, eye, fail, fifth, first, followed, foot, fourth, from, garden_fence, gate, gets, give, go, ground, hat, hill, in, jacket, knife, knocked, last, leaped, leaping, make, months, mouth, mr, nose, on, own, pavement, pickwick, pipe, private, property, prove, reckless, replied, rip_van, road, screwed, seconds, sleeves, snodgrass, spectacles, sticking, stretched, supply, swiftly, swung, take, temporary, third, time, trousers, tupman, undue, variety, vest, waistcoat, watch_chain, way, weeks, whole, winkle, with, witnesses, wooden_bridge, woollen",52
53,"officer, said, snodgrass",53
54,"dry, hot, locker, pump, suggested",54
55,"gasped, groaned, pickwick, smart, tupman",55
56,"crowd, informers, shouted",56
57,"after, cabman, cessation, cried, day, first, last, sparring, time, whole",57
58,"acts, affray, aggression, animation, artless, attributing, avarice, bare, began, canvass, cheese, comer, committed, complacency, concealment, considerable, delicacy, discipline, eggs, enforcing, frailties, gaiety, heated, hitherto, informers, intelligence, interposition, is, mob, new, openness, passive, pastry, personal, pile, potatoes, proposition, propriety, salad, sauce, saying, scene, softness, spectators, spread, stewed, tenacious, terminated, unaffected, vendor, vivacity",58
59,"beeches, blue, bluish, brown, buttoned, cap, clumps, coach, coat, collar, emerging, fir, freckled, fun, green, hair, hat, jacket, leaved, leaves, lichen, man, mountain_ash, purples, ruddy, said, slim, stiff, tall, thick, thin, yard, yellow_hair, young",59
60,"crowd, informers, shouted",60
61,"carried, conviction, dispassionate, hissed, listener, mr, rattle, roared, tone",61
62,"appealing, component, countenances, crowd, elbowing, infallible, majority, making, man, members, mr, pickwick, process, said, tupman, way, young",62
63,"case, explained, fact, few, hurried, learned, man, matter, real, state, words",63
64,"accidents, advancement, beeches, best, blue, broken, buttoned, cap, chest, clumps, coat, collar, damned, delivered, die, disciples, do, extraordinary, families, fare, fir, flavour, followed, force, friends, gentleman, give, go, green, happen, hat, he'd, jacket, know, leaved, leaves, led, lengthened, lichen, luck, lugging, main, mistake, mountain_ash, mr, net, none, nonsense, pickwick, pipe, pull, purples, put, rag, rascals, regulated, respectable, room, said, say, see, sentences, similar, sir, sticking, stranger, string, take, talking, tell, think, tin, towel, traveller, tupman, volubility, waiting, way, whole, why",64
65,"bacon, beef, beer, behind, bell, boiled, brandy, breath, bruise, chair, cold, damaged, damned, draught, dry, ease, eye, fire, flung, fried, full, gentleman, give, glasses, go, good, ham, holding, hot, hour, inconvenient, lamp, lighted, lit, minced, much, mutton, occurred, odd, onions, open, pint, plenty, pork, post, quart, rang, raw, reeking, ringing, shouted, sill, sir, sitting, smoked, standing, steak, stopping, stranger, street, strong, swallowed, sweet, take, tremendous, uncommon, violence, waiter, water",65
66,"acquaintance, appearance, attired, companions, costume, engaged, examine, had, leisure, mr, new, pickwick, proffering, thanks, tupman, was",66
67,"adorned, again, air, amber_satin, antique, appearance, astride, away, back, bare, beeches, bespeak, black, blood, blouse, blue, bluish, body, boles, boots, braided, branches, brass_buttons, breeches, bristly, broad_brimmed, broadcloth, brocade, brown, brushed, buckled, bulging, bushy, buttoned, buttons, calico, cap, chin, chips, clean, clearness, clumps, clusters, coat, collar, collars, conceal, corduroy, costly, covered, cuffs, cutaway, cypress, damask, darts, days, decorated, derby_hat, dirty, displayed, dotted, down, drab, draggled, drapery, dress, dusted, edges, emaciated, escaped, eyebrows, eyes, face, faded, festooned, fingers, fir, flame, flannel, flood, freckled, frilled, garment, gave, glimpses, gloves, granite, green, greenish, grey, grey_hair, had, haggard, hair, half, hat, hazard, height, hollows, hung, imminent, impudence, incur, indefinable, indescribable, inlaid, jacket, jaunty, kid_gloves, knee, knotted, laced, larch, lawns, leather, leaved, leaves, legs, length, lichen, linen, long, man, mended, middle, mountain_ash, much, nails, neck, negligent, nose, observed, obstacle, old, ornamented, ornaments, padded, pair, palm, pantaloons, passion, patched, patches, peeling, perfect, pervaded, pinched, pins, pools, possession, profusion, purples, ragged, reached, red, rings, ruddy, satin, scanty, scarlet, self, service, shadows, shapely, shiny, shirt, shirt_collar, shoes, shone, shorter, shoulder, side, simple, sleeves, sleeves_rolled, slim, slippers, smart, soiled, spaces, splitting, spots, starched, stiff, stock, stockings, stocks, stranger, strapped, strewn, striped, subdued, swallow, swell, sympathy, tails, taller, tangled, teeth, thick, thin, thinness, three_fourths, tightly, times, tiny, top, tops, trailing, trousers, trowsers, tulle, undertaking, ungloved, vest, vestige, vines, visible, waist, waistcoat, was, watch_chain, wave, white, whole, willows, woollen, wreaths, wrists, years, yellow, yellow_hair",67
68,"assistance, authority, chosen, community, distinctions, exhausted, existing, frequency, friends, gaze, gazed, gazing, individual, mr, pickwick, proceeded, recent, recovered, return, spectacles, such, terms, thanks, tupman, warmest",68
69,"address, beeches, beer, blue, brother, cabman, chap, cheese, clumps, cutting, damn, egg, enough, fir, fives, friend, gammon, green, hand, handled, head, hooks, jemmy, juss, leaved, leaves, lichen, mind, mountain_ash, nut, pig, punch, purples, said, short, skeered, smart, stranger, whisper",69
70,"announce, coachman, coherent, commodore, entrance, groom, interrupted, point, rochester, speech, starting",70
71,"bad, booked, brandy, brass_fender, brummagem, buttons, cased, change, coach, collars, come, coral, cuffs, do, go, gold, greasy, hand, head, house, know, laced, lacquer, leather, leave, orange, pay, place, said, say, shook, shoulder, silver, sleeves, soiled, starting, stranger, take, tawny, think, trousers, waistcoat, wallpaper, want, water, yellow",71
72,"acquaintance, after, again, agreed, away, back, before, city, coach, companions, down, first, found, give, halting, happened, house, intimated, journeying, last, left, make, mr, new, occupy, pickwick, place, resolved, rochester, same, seat, sit, time, tupman",72
73,"assisting, deportment, expressive, gentleman, gravity, impair, mr, much, pickwick, precipitation, roof, said, stranger, tupman",73
74,"coachman, groom, inquired, luggage, sir",74
75,"answered, apron, big, brown, cases, collar, containing, corduroy, cushion, damned, dark, folded, forced, gone, hair, handkerchief, heap, heavy, holes, houses, indications, jacket, knee, knot, lap, leather, luggage, much, nailed, nails, other, packing, paper, parcel, places, planed, pocket, presented, red, replied, scarlet, shawl, shiny, shirt, slantwise, slim, stranger, suspicious, thin, trousers, tulle, vest, waist, waistcoat, water, wiped, wooden, yellow",75
76,"abutted, arch, archway, ate, bring, came, care, chicken, children, coach, cooked, corner, crash, cried, dangerous, day, days, down, drinking, eating, else, enough, entrance, family, fine, fingers, forgot, formed, give, go, hand, head, heads, help, house, iron_gate, keep, knock, lady, last, lips, little, look, looked, looking, loquacious, low, mother, mouth, muffins, night, nose, off, other, out, paved, place, pretty, put, quick, sandwich, sandwiches, sharp, shocking, sir, stranger, take, tall, terrible, then, time, up, went, whitehall, window, wooden_gate, work, yard, years",76
77,"affairs, human, mr, mutability, ruminating, said, strange",77
78,"corner, day, door, last, next, night, palace, philosopher, see, sir, time, window",78
79,"human, natural, nature, observer, pickwick, said, sir, tupman",79
80,"are, do, get, know, little, most, people, poet, say, sir, things, think",80
81,"brother, formulas, friend, has, pickwick, poetic, said, snodgrass, strong, tupman, turn",81
82,"bang, composed, day, epic, field, last, lines, lyre, mars, morning, night, piece, poem, revolution, said, spot, stranger, time, twang",82
83,"glorious, present, said, scene, sir, snodgrass",83
84,"after, bang, cut, day, do, fired, first, had, idea, ink, know, lash, last, musket, noble, pen, pencil, present, rip_van, ripped, rushed, say, shop, sir, slash, snarling, sportsman, sprang, think, time, turning, was, why, wine, winkle, wrote",84
85,"force, instance, mr, prophetic, remarkable",85
86,"clucking, dialogue, imagination, jingle, occurring, sucking, week, year",86
87,revolution,87
88,"answered, gentleman, little, replied, sir",88
89,"dogs, fine, pretty, pursuit, sir",89
90,"rip_van, said, winkle",90
91,"animals, board, bring, called, come, creatures, day, dog, dogs, entering, fine, found, gamekeeper, go, has, horse's_feet, inclosure, inscription, instinct, keep, last, left, looked, looking, move, night, once, orders, own, pass, pierced, pointer, ponto, pretty, ran, sagacious, saw, self_preservation, shoot, shooting, stared, staring, started, stock, stocks, stopped, surprising, take, three_fourths, time, transfixed, turned, valuable, walked, whistled, wonderful",91
92,"accept, allow, circumstance, discovery, give, letter, make, note, pickwick, said, tupman",92
93,"anecdotes, animal, bestowing, climbed, fifty, fine, girl, glances, gravel, hundred, lady, main_road, more, mr, pickwick, plateau, pretty, road_leading, roadside, same, sir, sundry, than, thousand, tupman, young",93
94,"pickwick, said, tupman",94
95,"beautiful, black, blueness, brown, coils, creatures, eyes, face, fine, forms, girls, grey, growths, hair, helmeted, jet, lovely, noble, ostrich, peeling, portuguese, pretty, red, shapely, spanish, sweet, tapering, thin, tulle, white, yellow_hair",95
96,"pickwick, said, sir, spain, tupman",96
97,ages,97
98,"conquests, inquired, pickwick, sir, tupman",98
99,"accept, acid, agony, arms, brother, consent, creature, daughter, despair, distraction, dread, ecstasies, englishman, father, fires, floods, grandee, grief, hands, handsome, horror, hundreds, induce, jealous, join, locker, loved, millions, occasional_visits, old, operation, performed, portmanteau, pump, romantic, son, souled, splendid, stomach, storms, story, tears, terror, thousands, tides, union, winds",99
100,"charms, description, impression, inquired, lady, mr, pickwick, powerful, produced, sir, tupman",100
101,"applying, apron, brief, cambric, constitution, cuffs, cushion, dead, eye, feet, fell, folded, frilled, handkerchief, inaction, knee, lap, locker, old, pump, recovered, remnant, right, said, shawl, sir, starched, stomach, stranger, undermined, victim, waist, wiped",101
102,"father, formulas, inquired, poetic, snodgrass",102
103,"a, and, answered, at, being, boot, brush, button, by, ceased, chest, city, clean, cobbled, confession, dirty, disappearance, discovered, dome, drawn, dread, elapsed, employed, father, fines, flat, fork, fountain, from, full, great, grief, hand, head, in, larch, law, made, main, misery, months, nail, nebula, of, on, palm_trees, pine_woods, pinnacles, pipe, played, playing, public, replied, right, search, some, sorrow, sponge, square, sticking, stoppage, stranger, string, success, sudden, talk, took, towel, upper, wall, water, weeks, whole, with, workmen",103
104,"accept, affected, allow, letter, little, note, romance, said, sir, snodgrass",104
105,"call, curious, extraordinary, hear, history, life, like, more, singular, sir, strange, than",105
106,"adventures, after, ale, alley, avenue, books, bridge, changed, coach, could, creek, crossing, day, did, filled, first, footpath, glass, horses, lane, last, letter, mr, note, occasional, open_space, parenthesis, pickwick, proceed, reached, roast, rochester, selections, snodgrass, strain, stranger, time, tupman, varied, way",106
107,"came, castle, distinguished, fervency, fervent, fervour, fine, formulas, gorgeous, magnificent, mr, old, poetic, pretty, ruin, said, sight, snodgrass, stucco, superb, went",107
108,"antiquarian, applied, eye, feet, fell, fingers, lips, mouth, mr, nose, pickwick, study, telescope, tupman, very, well, words",108
109,"above, added, arches, assignment, behind, being, black, blue, boards, boxes, breeches, broken, brown, buff, bull, buttresses, capital, cathedral, chairs, chesnut, church_militant, coach, continued, corduroy, craggy, crags, crumbling, cuffs, customers, dark, day, decaying, dishes, dome, doors, earthy, elections, electric_light, electric_lights, embattled, embedded, faces, feet, fell, fellows, fine, floors, frowning, gables, glorious, granite, great, grey, heavy, helplessly, high, house, inn, iridescence, ivy, jerkin, king_richard, knightly, knotted, last, leaded, leaf, leafless_trees, leafy, legends, light, little, locks, locksley, lord, malvoisin, master, match, money, monks, myriad, nebula, night, nooks, norman, noses, oaks, old, palm_trees, parabolani, pile, piled, pilgrims, pillars, pinnacles, place, plaited, plates, popes, poplars, pretty, queer, ran, ranges, reached, red, returned, richard_plantagenet, roofs, said, sarcophagus, saxon, scarlet, scent, sea_fowl, shapes, shrubs, slantwise, smell, sorts, spongy, spread, st_dunstan, staircases, started, steam, steamed, steps, stopped, stories, strange, stranger, street, suspiciously, swathed, swineherd, tables, takers, theatres, thick, time, tottering, treasurers, tremendous_precipices, turning, unhewn, walked, walls, white, worsted_stockings, yellow, yew_trees",109
110,"inquired, mr, nathaniel, remain, rip_van, sir, winkle",110
111,"a, beds, better, bill, boss, brother, charge, crown, dear, dine, dined, fellows, friend, good, half, house, in, long, look, more, next, nice, place, rum, than, waiter, wright",111
112,"addressed, assent, exchanged, few, looked, mr, murmured, nods, passed, pickwick, rip_van, sighed, snodgrass, stranger, tupman, turned, whisper, winkle, words",112
113,"accept, allow, begging, company, compassion, dinner, evening, favour, gratitude, important, mark, morning, night, offer, particular, rendered, said, service, sir, slight",113
114,"after, broiled, capital, day, dictate, egg, first, fowl, greens, last, mushrooms, pleasure, presume, savoury, soaps, thing, time, tripe",114
115,"answered, do, know, mr, pickwick, referring, replied, say, see, tell, think, tupman, watch, why",115
116,"above, brown, brush, button, care, chest, corduroy, few, finger, fork, gloved_hands, hair, hand, head, help, high, inches, lifting, looked, nail, paper, parcel, pinched, pocket, red, replacing, said, scarlet, shaking, shiny, side, slim, sponge, sticking, stopped, stranger, street, stretching_out, string, suit, thin, tulle, turned, walked, yard, yellow",116
117,"close, countries, historians, many, men, observer, people, pickwick, said, things, traveller, tupman",117
118,"like, poem, said, see, snodgrass",118
119,"dog, like, rip_van, said, seen, winkle",119
120,"dome, eyes, face, filled, fountain, larch, locker, mr, nebula, never, palm_trees, pickwick, pine_woods, pinnacles, pump, said, stomach, tears, thought, tupman, yet",120
121,"adjoining, bedrooms, city, dinner, engaged, inspected, neighbourhood, ordered, party, private, room, sitting, standing, stopped, view, walked",121
122,"abridged, appearance, brompton, careful, chatham, cities, description, differ, districts, find, foot, general, gone, ground, impressions, manufactories, material, mr, notes, other, perusal, pickwick, point, population, proportion, rochester, same, towns, travellers, tupman, villages",122
123,"adds, affords, after, amusement, animal, animated, appear, appearance, apples, ardent, ardour, arm, arrival, bake, baked, barmaid, bayonet, before, benevolence, bent, boy, case, chalk, cheap, cities, come, commodities, competitive, consumers, conviviality, cultivation, day, delightful, departure, devotion, districts, dockyard, dragging, draw, drawn, endearing, evening, exceed, exposed, express, fellow, fervent, fine, finger, first, fish, flat, following, forget, gallant, gentiles, girl, go, good, had, hard, holding, house, humour, influence, ingredients, innocent, insulted, jesting, jews, knees, knowledge, last, leaped, leaping, lifted, liquor, manufactories, marine, matter, men, military, mind, modern_science, modifications, morning, mr, neck, next, night, occasioned, occurred, officers, overflow, overlook, oysters, parts, philanthropic, pickwick, place, playfulness, population, present, pretty, principal, productions, programmes, public, publican, question, rabbis, readiness, refused, remember, return, riders, sailors, sale, says, see, ships, shook, shoulder, shrimps, soldiers, spirits, square, staggering, stores, streets, take, taxes, that's, throw, time, towns, tupman, unbounded, veneration, villages, was, wolfe, wounded, youthful",123
124,"appreciation, being, cabbage, characteristic, cities, commercial, consumption, continues, delicious, difficult_task, dirt, dish, districts, feature, fond, gratifying, great, ham, hob, indication, kettles, leading, leaf, local, manufactories, mr, object, organization, pervades, pickwick, political, population, pot, prosperity, refinement, scent, situation, smell, smoked, smoking, soap, streets, stuffed, sugar, superficial, tin, tobacco, towns, traffic, traveller, tupman, view, villages",124
125,"alteration, attire, brown, came, corduroy, dinner, divested, had, hair, loquacious, made, o’clock, paper, parcel, possible, punctual, red, scarlet, shiny, slim, some, stranger, thin, tulle, was, went, yellow",125
126,"covers, inquired, removed, waiter",126
127,"clinking, cutaway, overalls, patent_leather, sir, soles",127
128,"architects, baskets, brutal, capital, caps, carriage, clinking, coach, come, commercial, cunning, cutaway, dinners, dozens, fellows, fish, get, glass, go, london, marvin, merchants, oranges, organization, overalls, patent_leather, political, proprietors, rafalsky, sir, soles, stage, vegetables, wine",128
129,"mr, party, pickwick, pleasure, rip_van, said, snodgrass, stranger, talked, took, tupman, whole, wine, winkle",129
130,"balconies, barrels, carpenters, chimneys, coming, forms, gas_lamps, glasses, going, growths, harps, lamps, lights, mess, nooks, panes, purples, said, smoked, staircase, storage, stranger, tiled, waiter, wicket, windows",130
131,"said, sir, waiter",131
132,,132
133,"ball, benefit, charity, sir",133
134,"being, do, fine, great, inquired, interest, know, mr, pickwick, pretty, say, sir, think, town, tupman, why, women",134
